iter	Passed	Remaining
160	3171	12589
161	3188	12559
162	3205	12525
163	3220	12488
164	3236	12455
165	3251	12419
166	3266	12382
167	3282	12347
168	3298	12315
169	3313	12280
170	3329	12245
171	3345	12213
172	3361	12182
173	3376	12146
174	3391	12113
175	3407	12081
176	3423	12049
177	3439	12019
178	3458	11997
179	3475	11970
180	3492	11943
181	3508	11914
182	3527	11891
183	3545	11868
184	3561	11840
185	3578	11812
186	3595	11785
187	3611	11756
188	3627	11726
189	3643	11698
190	3660	11671
191	3675	11639
192	3691	11609
193	3706	11577
194	3722	11547
195	3737	11519
196	3753	11489
197	3768	11459
198	3784	11430
199	3800	11402
200	3817	11375
201	3832	11345
202	3848	11316
203	3863	11288
204	3878	11258
205	3894	11230
206	3910	11202
207	3926	11176
208	3942	11147
209	3957	11117
210	3973	11092
211	3989	11065
212	4004	11037
213	4020	11008
214	4036	10981
215	4051	10953
216	4066	10926
217	4082	10898
218	4098	10872
219	4113	10845
220	4129	10818
221	4146	10795
222	4161	10768
223	4177	10742
224	4193	10717
225	4209	10691
226	4225	10665
227	4240	10639
228	4256	10613
229	4271	10586
230	4287	10561
231	4304	10538
232	4319	10512
233	4334	10485
234	4350	10459
235	4366	10435
236	4382	10410
237	4397	10385
238	4413	10360
239	4429	10336
240	4445	10311
241	4460	10284
242	4475	10258
243	4491	10234
244	4506	10208
245	4522	10184
246	4538	10160
247	4553	10135
248	4569	10110
249	4584	10085
250	4600	10062
251	4616	10038
252	4631	10013
253	4646	9988
254	4663	9967
255	4680	9945
256	4698	9926
257	4714	9904
258	4733	9887
259	4749	9864
260	4765	9841
261	4781	9817
262	4796	9792
263	4811	9768
264	4827	9745
265	4843	9723
266	4858	9699
267	4873	9675
268	4889	9650
269	4904	9627
270	4919	9603
271	4935	9581
272	4951	9557
273	4967	9535
274	4983	9513
275	4998	9489
276	5014	9468
277	5031	9447
278	5049	9429
279	5065	9407
280	5082	9386
281	5099	9366
282	5118	9351
283	5139	9337
284	5161	9326
285	5194	9335
286	5218	9328
287	5242	9320
288	5265	9310
289	5294	9310
290	5324	9313
291	5346	9301
292	5365	9284
293	5388	9274
294	5412	9266
295	5439	9262
296	5461	9249
297	5488	9244
298	5509	9231
299	5533	9221
300	5553	9206
301	5574	9192
302	5592	9173
303	5611	9155
304	5631	9139
305	5650	9122
306	5671	9107
307	5692	9092
308	5712	9077
309	5734	9064
310	5754	9047
311	5774	9032
312	5792	9012
313	5810	8992
314	5827	8972
315	5845	8952
316	5863	8934
317	5881	8914
318	5899	8896
319	5918	8877
320	5938	8860
321	5957	8843
322	5976	8825
323	5994	8807
324	6015	8791
325	6032	8771
326	6052	8754
327	6070	8735
328	6088	8716
329	6107	8698
330	6126	8680
331	6144	8661
332	6164	8645
333	6184	8628
334	6211	8622
335	6252	8633
336	6286	8636
337	6319	8638
338	6350	8636
339	6426	8694
340	6492	8739
341	6537	8754
342	6573	8758
343	6596	8743
344	6621	8732
345	6643	8717
346	6663	8699
347	6686	8684
348	6713	8675
349	6738	8663
350	6761	8648
351	6782	8631
352	6802	8614
353	6823	8596
354	6846	8581
355	6870	8569
356	6895	8556
357	6919	8543
358	6942	8527
359	6980	8531
360	7002	8515
361	7024	8499
362	7044	8480
363	7063	8460
364	7084	8442
365	7104	8424
366	7123	8405
367	7143	8386
368	7164	8368
369	7187	8353
370	7208	8334
371	7229	8317
372	7248	8298
373	7267	8277
374	7289	8261
375	7315	8249
376	7345	8241
377	7373	8232
378	7401	8221
379	7431	8214
380	7461	8205
381	7485	8191
382	7508	8174
383	7532	8159
384	7555	8144
385	7576	8125
386	7596	8107
387	7615	8086
388	7635	8067
389	7654	8046
390	7672	8025
391	7691	8005
392	7711	7985
393	7730	7965
394	7750	7946
395	7770	7927
396	7792	7909
397	7813	7892
398	7835	7874
399	7858	7858
400	7877	7838
401	7896	7818
402	7916	7798
403	7935	7778
